"treated_id","control_id"
"CA3360011760620020513_A","CA3790211905120100726_C1"
"CA3360011760620020513_A","CA3679011947219990713_C1"
"CA3360011760620020513_A","CA3946112111419991016_C1"
"CA3360011760620020513_A","CA3895812085620160628_C1"
"CA3360011760620020513_A","CA3879412296619880824_C1"
"CA3360011760620020513_A","CA4061112052020020712_C1"
"CA3360011760620020513_A","CA3954212303919870831_C1"
"CA3360011760620020513_A","CA3644511863020141020_C1"
"CA3360011760620020513_A","CA3975512133920080621_C1"
"CA3360011760620020513_A","CA3656512122619990817_C1"
"CA3360011760620020513_A","CA3621511813520030827_C1"
"CA3360011760620020513_A","CA4099512207820120818_C1"
